Variable,Variable Number,Topic,Topic Number,Subtopic,Subtopic Number,Survey Years,Availability,Description,Table Name,Type,Edit Flag Variable,Imputation Strategy,Response Codes,Question Text,Instrument Variable Name(s),Disclosure,Conditions in Universe,User Notes
CONTROL,1,Admin,1,Interview Status,1,"2019 National, 2017 National, 2015 National",PUF,Control number,ALL,Character,NA,Coming soon,000000000001 : 999999999999: 000000000001 to 999999999999,NA,NA,None,INTSTATUS in ('1' '2' '3'),"CONTROL can be used to link records across datasets and between survey years. However, in the metro data for 1998, 2002, 2004, 2007, and 2009 CONTROL must be combined with SMSA to uniquely identify housing units and link records. Beginning with 2015, the first three digits are 110 for National sample records, and 210 for Metropolitan sample records. The last five digits are sequentially numbered beginning with 00001."
CONTROL,1,Admin,1,Interview Status,1,"2019 Metro, 2017 Metro, 2015 Metro",PUF,Control number,ALL,Character,NA,Coming soon,10000001 : 99999999: 10000001 to 99999999,NA,NA,None,INTSTATUS in ('1' '2' '3'),"CONTROL can be used to link records across datasets and between survey years. However, in the metro data for 1998, 2002, 2004, 2007, and 2009 CONTROL must be combined with SMSA to uniquely identify housing units and link records. Beginning with 2015, the first three digits are 110 for National sample records, and 210 for Metropolitan sample records. The last five digits are sequentially numbered beginning with 00001."
INTSTATUS,2,Admin,1,Interview Status,1,"2019 National, 2019 Metro, 2017 National, 2017 Metro, 2015 National, 2015 Metro",PUF,Interview status,HOUSEHOLD,Character,NA,Coming soon,1: Occupied interview||2: URE (Usual Residence Elsewhere) interview||3: Vacant interview,NA,NA,None,INTSTATUS in ('1' '2' '3'),Interview status is determined using information provided by the Field Representative.
INTMONTH,3,Admin,1,Interview Status,1,"2019 National, 2019 Metro",PUF,Interview month,HOUSEHOLD,Character,NA,Coming soon,01: January||02: February||03: March||04: April||05: May||06: June||07: July||08: August||09: September||10: October||11: November||12: December,NA,NA,None,INTSTATUS in ('1' '2' '3'),"Interview month is determined using the instrument (laptop) date stamp for the interview. If the respondent was interviewed in more than one month (for example, a follow-up visit was needed to complete the interview), INTMONTH reflects the last contact."
INTLANG,4,Admin,1,Interview Status,1,"2019 National, 2019 Metro",PUF,Interview language,HOUSEHOLD,Character,NA,Coming soon,01: English||02: Spanish||10: Other||M or -9: Not reported,In what language was the interview conducted?,LANG,None,INTSTATUS in ('1' '2' '3'),"This question is not asked of the respondent. The Field Representative provided the language information as the interview was being completed. This information is recorded for all Occupied, Vacant, and URE interviews."
INTMODE,5,Admin,1,Interview Status,1,"2019 National, 2019 Metro, 2017 National, 2017 Metro, 2015 National, 2015 Metro",PUF,Interview mode,HOUSEHOLD,Character,NA,Coming soon,1: Telephone interview||2: Personal visit||M or -9: Not reported,NA,NA,None,INTSTATUS in ('1' '2' '3'),Interview mode is determined using information provided by the Field Representative.
DIVISION,1,Admin,1,Geography,2,"2019 National, 2019 Metro, 2017 National, 2017 Metro, 2015 National, 2015 Metro",PUF,Census division,HOUSEHOLD,Character,NA,Coming soon,1: New England||2: Middle Atlantic||3: East North Central||4: West North Central||5: South Atlantic||6: East South Central||7: West South Central||8: Mountain||9: Pacific,NA,NA,None,INTSTATUS in ('1' '2' '3'),"DIVISION appears on the National PUF only. The Metro IUF, not the PUF, includes DIVISION (due to disclosure reasons)."
STATE,2,Admin,1,Geography,2,"2019 National, 2019 Metro, 2017 National, 2015 National, 2015 Metro",IUF Only,State FIPS code,HOUSEHOLD,Character,NA,Coming soon,01: Alabama||02: Alaska||04: Arizona||05: Arkansas||06: California||08: Colorado||09: Connecticut||10: Delaware||11: District of Columbia||12: Florida||13: Georgia||15: Hawaii||16: Idaho||17: Illinois||18: Indiana||19: Iowa||20: Kansas||21: Kentucky||22: Louisiana||23: Maine||24: Maryland||25: Massachusetts||26: Michigan||27: Minnesota||28: Mississippi||29: Missouri||30: Montana||31: Nebraska||32: Nevada||33: New Hampshire||34: New Jersey||35: New Mexico||36: New York||37: North Carolina||38: North Dakota||39: Ohio||40: Oklahoma||41: Oregon||42: Pennsylvania||44: Rhode Island||45: South Carolina||46: South Dakota||47: Tennessee||48: Texas||49: Utah||50: Vermont||51: Virginia||53: Washington||54: West Virginia||55: Wisconsin||56: Wyoming||99: Suppressed,NA,NA,Withheld,INTSTATUS in ('1' '2' '3'),These values adhere to the Federal Information Processing Standards (FIPS) two digit state codes. More information on these codes can be found at https://www.census.gov/programs-surveys/popest/geographies/reference-files.html.
COUNTY_2010,5,Admin,1,Geography,2,"2019 National, 2019 Metro",IUF Only,2010 Census county FIPS code,HOUSEHOLD,Character,NA,Coming soon,001 : 840: 001 to 840,NA,NA,Withheld,INTSTATUS in ('1' '2' '3'),"These values adhere to the Federal Information Processing Standards (FIPS) three digit county codes for 2010. More information on these codes can be found at https://www.census.gov/programs-surveys/popest/geographies/reference-files.html. <br/> <br/> Census maintains the Master Address File (MAF), which contains a record for every housing unit in the nation and acts as a frame for many Census administered surveys. From 2015 onwards, the American Housing Survey (AHS) drew its sample from the MAF. While the geographic codes on the MAF are highly accurate, they are imperfect. During sample selection, a small percentage of housing units selected from the MAF have incorrect or missing geography variables. In the case of missing geography data, Census will impute values. This may impact the county values from survey year to survey year."
OMB13CBSA,6,Admin,1,Geography,2,"2019 National, 2019 Metro",PUF,2013 OMB CBSA code,HOUSEHOLD,Character,NA,Coming soon,"12060: Atlanta-Sandy Springs-Roswell, GA||12580: Baltimore-Columbia-Towson, MD||13820: Birmingham-Hoover, AL||14460: Boston-Cambridge-Newton, MA-NH||16980: Chicago-Naperville-Elgin, IL-IN-WI||17140: Cincinnati, OH-KY-IN||17460: Cleveland-Elyria, OH||19100: Dallas-Fort Worth-Arlington, TX||19740: Denver-Aurora-Lakewood, CO||19820: Detroit-Warren-Dearborn, MI||26420: Houston-The Woodlands-Sugar Land, TX||28140: Kansas City, MO-KS||29820: Las Vegas-Henderson-Paradise, NV||31080: Los Angeles-Long Beach-Anaheim, CA||32820: Memphis, TN-MS-AR||33100: Miami-Fort Lauderdale-West Palm Beach, FL||33340: Milwaukee-Waukesha-West Allis, WI||33460: Minneapolis-St. Paul-Bloomington, MN-WI||35380: New Orleans-Metairie, LA||35620: New York-Newark-Jersey City, NY-NJ-PA||36420: Oklahoma City, OK||37980: Philadelphia-Camden-Wilmington, PA-NJ-DE-MD||38060: Phoenix-Mesa-Scottsdale, AZ||38300: Pittsburgh, PA||38900: Portland-Vancouver-Hillsboro, OR-WA||39580: Raleigh, NC||40060: Richmond, VA||40140: Riverside-San Bernardino-Ontario, CA||40380: Rochester, NY||41700: San Antonio-New Braunfels, TX||41860: San Francisco-Oakland-Hayward, CA||41940: San Jose-Sunnyvale-Santa Clara, CA||42660: Seattle-Tacoma-Bellevue, WA||45300: Tampa-St. Petersburg-Clearwater, FL||47900: Washington-Arlington-Alexandria, DC-VA-MD-WV||99998: All other metropolitan areas||99999: Not in a metropolitan area",NA,NA,None,INTSTATUS in ('1' '2' '3'),These values adhere to the Office of Management and Budget (OMB) definitions for Core Based Statistical Areas (CBSAs). More information on these can be found at https://www.census.gov/programs-surveys/metro-micro.html. OMB13CBSA codes are only produced for cases in the 15 largest metropolitan areas (on the National microdata) and cases on the Metropolitan microdata files.
OMB13CBSA_IUF,7,Admin,1,Geography,2,"2019 National, 2019 Metro",IUF Only,2013 OMB CBSA code,HOUSEHOLD,Character,NA,Coming soon,10100 : 49820: 10100 to 49820,NA,NA,Withheld,INTSTATUS in ('1' '2' '3'),"OMB13CBSA indicates the Core Based Statistical Area (CBSA) code at the time the case was selected for the AHS sample. In rare instances, the geocoding may be corrected after the case has been selected. When this happens, the OMB13CBSA_IUF variable will reflect the updated location. Additionally, while the PUF only shows CBSA codes for areas which AHS publishes, the IUF shows CBSA codes for all cases located in any CBSA. Internal users should continue to use OMB13CBSA to produce any tabulations for public release. Also see OMB13CBSA."
URBAN_2010,8,Admin,1,Geography,2,"2019 National, 2019 Metro, 2017 National, 2017 Metro, 2015 National, 2015 Metro",IUF Only,2010 urban area type,HOUSEHOLD,Character,NA,Coming soon,1: Urbanized Area||2: Urban Cluster||3: Rural,NA,NA,Withheld,INTSTATUS in ('1' '2' '3'),This item refers to Census defined 2010 urban areas. More information on these definitions can be found at https://www.census.gov/programs-surveys/geography/about/faq/2010-urban-area-faq.html.
METRO_2013,9,Admin,1,Geography,2,"2019 National, 2019 Metro, 2017 National, 2017 Metro, 2015 National, 2015 Metro",IUF Only,2013 metropolitan area type,HOUSEHOLD,Character,NA,Coming soon,1: Metro: Central City||2: Metro: Non-Central City||3: Metropolitan Area||4: Non-Metropolitan Area,NA,NA,Withheld,INTSTATUS in ('1' '2' '3'),This item uses Office of Management and Budget (OMB) definitions for 2013 metro areas and their principal cities. More information on these definitions can be found at https://www.census.gov/programs-surveys/metro-micro.html.
TRACT_2019,11,Admin,1,Geography,2,"2019 National, 2019 Metro",IUF Only,2019 Census tract code,HOUSEHOLD,Character,NA,Coming soon,000100 : 999999: 000100 to 999999,NA,NA,Withheld,INTSTATUS in ('1' '2' '3'),TRACT_2019 incorporates tract re-numbering that took place between 2015 and 2019 and should be used to match to tract estimates from other surveys of 2019 data (the most common example being the 2019 ACS tract level estimates).
TRACT_2010,14,Admin,1,Geography,2,"2019 National, 2019 Metro, 2017 National, 2017 Metro, 2015 National, 2015 Metro",IUF Only,2010 Census tract code,HOUSEHOLD,Character,NA,Coming soon,000100 : 999999: 000100 to 999999,NA,NA,Withheld,INTSTATUS in ('1' '2' '3'),TRACT uses the tract boundary definitions from the 2010 Census and should be used when matching to 2010 decennial tract level files.
BLOCK_2010,15,Admin,1,Geography,2,"2019 National, 2019 Metro, 2017 National, 2017 Metro, 2015 National, 2015 Metro",IUF Only,2010 Census block code,HOUSEHOLD,Character,NA,Coming soon,1000 : 9999: 1000 to 9999,NA,NA,Withheld,INTSTATUS in ('1' '2' '3'),
PUMA_2010,16,Admin,1,Geography,2,"2019 National, 2019 Metro, 2017 National, 2017 Metro, 2015 National, 2015 Metro",IUF Only,2010 Census Public Use Microdata Area code,HOUSEHOLD,Character,NA,Coming soon,00100 : 70301: 00100 to 70301,NA,NA,Withheld,INTSTATUS in ('1' '2' '3'),"This item uses the Census defined 2010 Public Use Microdata Areas (PUMAs), which are geographic units comprised of Census tracts covering areas with populations greater than 100,000. More information on these definitions can be found at https://www.census.gov/geographies/reference-files/time-series/geo/relationship-files.html."
LAT,17,Admin,1,Geography,2,"2019 National, 2019 Metro, 2017 National, 2017 Metro, 2015 National, 2015 Metro",IUF Only,Latitude,HOUSEHOLD,Character,JLAT,Coming soon,Blank,NA,NA,Withheld,INTSTATUS in ('1' '2' '3'),
LON,18,Admin,1,Geography,2,"2019 National, 2019 Metro",IUF Only,Longitude,HOUSEHOLD,Character,JLON,Coming soon,Blank,N,N,Withheld,INTSTATUS in ('1' '2' '3'),
