,0
DIVISION,1.0
OMB13CBSA,1.0
TENURE,0.8671132598778436
CONDO,1.0
HOA,1.0
OWNLOT,0.5102529516072809
VACSELL,0.044740152468134765
BLD,1.0
YRBUILT,1.0
GUTREHB,0.49921947227232083
LOTSIZE,0.6776950940422243
GARAGE,1.0
PORCH,1.0
NOSTEP,1.0
WINBARS,0.7078249799184614
FOUNDTYPE,0.7078249799184614
UNITSIZE,1.0
STORIES,1.0
UNITFLOORS,1.0
TOTROOMS,1.0
BEDROOMS,1.0
BATHROOMS,1.0
KITCHENS,1.0
DINING,1.0
LAUNDY,1.0
FINROOMS,1.0
UFINROOMS,1.0
HEATTYPE,1.0
HEATFUEL,1.0
SUPP1HEAT,1.0
SUPP2HEAT,1.0
FIREPLACE,1.0
SOLAR,1.0
ACPRIMARY,1.0
ACSECNDRY,1.0
SEWTYPE,1.0
WATSOURCE,1.0
HOTWATER,1.0
COOKTYPE,1.0
COOKFUEL,1.0
FRIDGE,1.0
DISHWASH,1.0
KITCHSINK,1.0
WASHER,1.0
NOWIRE,1.0
PLUGS,0.9973780330701263
FNDCRUMB,0.7078249799184614
ROOFHOLE,0.7078249799184614
ROOFSHIN,0.7078249799184614
ROOFSAG,0.7078249799184614
WALLSIDE,0.7078249799184614
WALLSLOPE,0.7078249799184614
WINBOARD,0.7078249799184614
WINBROKE,0.7078249799184614
FLOORHOLE,1.0
WALLCRACK,1.0
PAINTPEEL,1.0
LEAKO,0.8671132598778436
MOLDKITCH,0.8671132598778436
MOLDBATH,0.8671132598778436
MOLDBEDRM,0.8671132598778436
MOLDLROOM,0.8671132598778436
MOLDBASEM,0.8671132598778436
MOLDOTHER,0.8671132598778436
UPKEEP,1.0
HSHLDTYPE,0.8671132598778436
NUMPEOPLE,0.8671132598778436
HHSEX,0.8671132598778436
HHAGE,0.8671132598778436
HHMAR,0.8671132598778436
HHRACE,0.8671132598778436
HINCP,0.8671132598778436
FINCP,0.8671132598778436
MORTAMT,0.31627286643124536
RENT,0.39450750973765175
UTILAMT,0.9361785968687956
PROTAXAMT,0.5230596686925024
INSURAMT,0.8671132598778436
HOAAMT,0.5585547354541459
TOTHCAMT,0.8671132598778436
ELECAMT,0.9197496248920144
GASAMT,0.9197496248920144
OILAMT,0.9197496248920144
OTHERAMT,0.9197496248920144
TRASHAMT,0.9361785968687956
WATERAMT,0.9361785968687956
DWNPAYPCT,0.46029917703581336
MARKETVAL,0.6054924902623483
TOTBALAMT,0.31627286643124536
REMODJOBS,0.5230596686925024
REMODAMT,0.5230596686925024
MAINTAMT,0.5230596686925024
NEARABAND,0.8671132598778436
NEARTRASH,0.8671132598778436
RATINGHS,0.8671132598778436
RATINGNH,0.8667192070444522
NHQSCHOOL,0.8671132598778436
NHQPCRIME,0.8671132598778436
NHQSCRIME,0.8671132598778436
NHQPUBTRN,0.8671132598778436
NHQRISK,0.8671132598778436
NRATE,0.2152134705445507
HRATE,0.2152134705445507
