,0
DIVISION,1.0
OMB13CBSA,1.0
TENURE,0.8638582263272508
CONDO,1.0
HOA,1.0
OWNLOT,0.8246602087557258
VACSELL,0.06790818752972391
BLD,1.0
YRBUILT,1.0
GUTREHB,0.8244849941177943
LOTSIZE,0.8928437335736277
GARAGE,1.0
PORCH,1.0
NOSTEP,1.0
WINBARS,0.9288628569998247
FOUNDTYPE,0.9288628569998247
UNITSIZE,1.0
STORIES,1.0
UNITFLOORS,1.0
TOTROOMS,1.0
BEDROOMS,1.0
BATHROOMS,1.0
KITCHENS,1.0
DINING,1.0
LAUNDY,1.0
FINROOMS,1.0
UFINROOMS,1.0
HEATTYPE,1.0
HEATFUEL,1.0
SUPP1HEAT,1.0
SUPP2HEAT,1.0
FIREPLACE,1.0
SOLAR,1.0
ACPRIMARY,1.0
ACSECNDRY,1.0
SEWTYPE,1.0
WATSOURCE,1.0
HOTWATER,1.0
COOKTYPE,1.0
COOKFUEL,1.0
FRIDGE,1.0
DISHWASH,1.0
KITCHSINK,1.0
WASHER,1.0
NOWIRE,1.0
PLUGS,0.9964456459162474
FNDCRUMB,0.9288628569998247
ROOFHOLE,0.9288628569998247
ROOFSHIN,0.9288628569998247
ROOFSAG,0.9288628569998247
WALLSIDE,0.9288628569998247
WALLSLOPE,0.9288628569998247
WINBOARD,0.9288628569998247
WINBROKE,0.9288628569998247
FLOORHOLE,1.0
WALLCRACK,1.0
PAINTPEEL,1.0
LEAKO,0.8638582263272508
MOLDKITCH,0.8638582263272508
MOLDBATH,0.8638582263272508
MOLDBEDRM,0.8638582263272508
MOLDLROOM,0.8638582263272508
MOLDBASEM,0.8638582263272508
MOLDOTHER,0.8638582263272508
UPKEEP,1.0
HSHLDTYPE,0.8638582263272508
NUMPEOPLE,0.8638582263272508
HHSEX,0.8638582263272508
HHAGE,0.8638582263272508
HHMAR,0.8638582263272508
HHRACE,0.8638582263272508
HINCP,0.8638582263272508
FINCP,0.8638582263272508
MORTAMT,0.522339866336262
RENT,0.0
UTILAMT,0.8945958799529423
PROTAXAMT,0.8638582263272508
INSURAMT,0.8638582263272508
HOAAMT,0.8945958799529423
TOTHCAMT,0.8638582263272508
ELECAMT,0.8674626417361267
GASAMT,0.8674626417361267
OILAMT,0.8674626417361267
OTHERAMT,0.8674626417361267
TRASHAMT,0.8945958799529423
WATERAMT,0.8945958799529423
DWNPAYPCT,0.7602062526595079
MARKETVAL,1.0
TOTBALAMT,0.522339866336262
REMODJOBS,0.8638582263272508
REMODAMT,0.8638582263272508
MAINTAMT,0.8638582263272508
NEARABAND,0.8638582263272508
NEARTRASH,0.8638582263272508
RATINGHS,0.8638582263272508
RATINGNH,0.8636079197016345
NHQSCHOOL,0.8638582263272508
NHQPCRIME,0.8638582263272508
NHQSCRIME,0.8638582263272508
NHQPUBTRN,0.8638582263272508
NHQRISK,0.8638582263272508
NRATE,0.10865810618007059
HRATE,0.10865810618007059
