,0
DIVISION,1.0
OMB13CBSA,1.0
TENURE,0.8588694972649127
CONDO,1.0
HOA,1.0
OWNLOT,0.8187027871841626
MGRONSITE,0.0
VACANCY,0.14113050273508726
VACMONTHS,0.12130763219588435
MONLSTOCC,0.14113050273508726
SUITYRRND,0.032664756446991405
VACPRIRES,0.0703829122167231
VACREC,0.0703829122167231
VACINVEST,0.0703829122167231
VACSELL,0.0703829122167231
VACINHER,0.0703829122167231
BLD,1.0
YRBUILT,1.0
GUTREHB,0.8052096900234436
LOTSIZE,0.8880437613961969
GARAGE,1.0
PORCH,1.0
NOSTEP,1.0
WINBARS,0.9214899713467049
ENTRYSYS,0.07851002865329514
MHWIDE,0.061812972128158374
MHANCHOR,0.061812972128158374
FOUNDTYPE,0.9214899713467049
UNITSIZE,1.0
STORIES,1.0
UNITFLOORS,1.0
TOTROOMS,1.0
BEDROOMS,1.0
BATHROOMS,1.0
KITCHENS,1.0
DINING,1.0
LAUNDY,1.0
FINROOMS,1.0
UFINROOMS,1.0
KITEXCLU,0.07460276113571243
BATHEXCLU,0.0014326647564469914
HEATTYPE,1.0
HEATFUEL,1.0
SUPP1HEAT,1.0
SUPP2HEAT,1.0
FIREPLACE,1.0
SOLAR,1.0
ACPRIMARY,1.0
ACSECNDRY,1.0
SEWTYPE,1.0
SEWUSERS,0.17767647824954416
WATSOURCE,1.0
HOTWATER,1.0
COOKTYPE,1.0
COOKFUEL,1.0
FRIDGE,1.0
DISHWASH,1.0
KITCHSINK,1.0
WASHER,1.0
NOWIRE,1.0
PLUGS,0.9965876530346445
FNDCRUMB,0.9214899713467049
ROOFHOLE,0.9214899713467049
ROOFSHIN,0.9214899713467049
ROOFSAG,0.9214899713467049
WALLSIDE,0.9214899713467049
WALLSLOPE,0.9214899713467049
WINBOARD,0.9214899713467049
WINBROKE,0.9214899713467049
FLOORHOLE,1.0
WALLCRACK,1.0
PAINTPEEL,1.0
LEAKO,0.8588694972649127
LEAKOROOF,0.07957801510810107
LEAKOBASE,0.07957801510810107
LEAKOWALL,0.07957801510810107
LEAKOOTH,0.07957801510810107
LEAKI,0.8588694972649127
LEAKIPLUM,0.05543110184943996
LEAKIPIPE,0.05543110184943996
LEAKIWATH,0.05543110184943996
LEAKIOTH,0.05543110184943996
LEAKIDK,0.05543110184943996
MOLDKITCH,0.8588694972649127
MOLDBATH,0.8588694972649127
MOLDBEDRM,0.8588694972649127
MOLDLROOM,0.8588694972649127
MOLDBASEM,0.8588694972649127
MOLDOTHER,0.8588694972649127
UPKEEP,1.0
HSHLDTYPE,0.8588694972649127
NUMPEOPLE,0.8588694972649127
HHSEX,0.8588694972649127
HHAGE,0.8588694972649127
HHMAR,0.8588694972649127
HHRACE,0.8588694972649127
HINCP,0.8588694972649127
FINCP,0.8588694972649127
MORTAMT,0.5082834071372754
RENT,0.0
UTILAMT,0.8895806199531128
PROTAXAMT,0.8588694972649127
INSURAMT,0.8588694972649127
HOAAMT,0.8895806199531128
LOTAMT,0.023782234957020056
TOTHCAMT,0.8588694972649127
ELECAMT,0.8625683771815577
GASAMT,0.8625683771815577
OILAMT,0.8625683771815577
OTHERAMT,0.8625683771815577
TRASHAMT,0.8895806199531128
WATERAMT,0.8895806199531128
DWNPAYPCT,0.7600677259703048
MARKETVAL,1.0
TOTBALAMT,0.5082834071372754
REMODJOBS,0.8588694972649127
REMODAMT,0.8588694972649127
MAINTAMT,0.8588694972649127
NORC,0.20450638187027873
NEARABAND,0.8588694972649127
NEARTRASH,0.8588694972649127
RATINGHS,0.8588694972649127
RATINGNH,0.8584787705131545
NHQSCHOOL,0.8588694972649127
NHQPCRIME,0.8588694972649127
NHQSCRIME,0.8588694972649127
NHQPUBTRN,0.8588694972649127
NHQRISK,0.8588694972649127
SEARCHSTOP,0.10145871320656422
NRATE,0.10145871320656422
HRATE,0.10145871320656422
FSSTATUS,0.4267257098202657
HALIFT,0.43214378744464704
HAGETHOME,0.43214378744464704
HABEDENTRY,0.246235998958062
HABEDADD,0.13308153164886688
HABATHENTRY,0.246235998958062
HABATHADD,0.10333420161500391
